STATE,if,return,(,ID,INT,FLOAT,STR,;,),{,},while,function,else,else if,TYPE,=,==,!=,<,>,!,+,-,*,/,&&,||,true,false,$,INVALID_TOKEN,ARGUMENTS,BODY,WHILE_LOOP,STATEMENTS,IF,WHILE,VARIABLE_DEFINITION,FUNCTION_CALL,ASSIGNMENT,RETURN_STATEMENT,FUNCTION_DEFINITION,OTHER_ARGUEMENTS,ELSE,ELSE_PART,LE,AE,LE1,LE2,LE3,LE4,LE5,T,F
S70,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,R173,S29,S30,R173,R173,R173,R173,R173,R173,R173,R173,R173,,,,,,,,,,,,,,,,,,,,,,,,,
S71,R181,R181,R181,R181,R181,R181,R181,R181,R181,R181,R181,R181,R181,R181,R181,R181,R181,S33,S34,S31,R181,R181,S37,S38,R181,R181,S36,S35,R181,R181,,,,,,,,,,,,,,,,,,,,,,,,,
S72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S83,,,,,,,,,,,,,,,,,,,,S29,S30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S84,,,,,,,,,,,,,,,,,,S33,S34,S31,S32,,S37,S38,,,S36,S35,,,,,,,,,,,,,,,,,,,,,,,,,,,
S85,,,,,,,,,,,,,,,,,,S39,S40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S86,,,,,,,,,,,,,,,,,,S39,S40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S87,,,,,,,,,,,,,,,,,,S33,S34,,,,S37,S38,,,S36,S35,,,,,,,,,,,,,,,,,,,,,,,,,,,
S88,,,,,,,,,,,,,,,,,,S33,S34,,,,S37,S38,,,S36,S35,,,,,,,,,,,,,,,,,,,,,,,,,,,
S89,,,,,,,,,,,,,,,,,,,,,,,S37,S38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
